Name,Category Main,Category Sub,Price,Unit,Image URL,Local Image,URL,Error
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/thit-bo-nhap-khau-500g,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/thit-bo-nhap-khau-1kg,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/thit-bo-nhap-khau-300g,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/thit-bo-nhap-khau-hop-6,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/thit-bo-nhap-khau-lon-330ml,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/thit-bo-nhap-khau-chai-1-5l,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/thit-bo-uc,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/thit-bo-uc-500g,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/thit-bo-uc-1kg,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/thit-bo-uc-300g,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/thit-bo-uc-hop-6,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/thit-bo-uc-lon-330ml,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/thit-bo-uc-chai-1-5l,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/thit-bo-my,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/thit-bo-my-500g,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/thit-bo-my-1kg,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/thit-bo-my-300g,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/thit-bo-my-hop-6,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/thit-bo-my-lon-330ml,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/thit-bo-my-chai-1-5l,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/suon-bo,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/suon-bo-500g,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/suon-bo-1kg,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/suon-bo-300g,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/suon-bo-hop-6,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/suon-bo-lon-330ml,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/suon-bo-chai-1-5l,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/ba-chi-bo,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/ba-chi-bo-500g,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/ba-chi-bo-1kg,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/ba-chi-bo-300g,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/ba-chi-bo-hop-6,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/ba-chi-bo-lon-330ml,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/ba-chi-bo-chai-1-5l,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/dui-bo,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/dui-bo-500g,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/dui-bo-1kg,
Đùi bò Úc giá tốt tại Bách hoá XANH,,Thịt bò,79500,,https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8139/332829/bhx/233960_202512041320132576.jpg,assets\bhx-images\dui-bo-uc-gia-tot-tai-bach-hoa-xanh.jpg,https://www.bachhoaxanh.com/thit-bo/dui-bo-300g,
N/A,,thit-bo,,,,,https://www.bachhoaxanh.com/thit-bo/dui-bo-hop-6,
