name,category_main,category_sub,price_text,price_value,old_price_text,old_price_value,unit,discount_percent,sku_or_code,product_url,image_url,local_image_path,description,source,error_note
"Xúc xích tiệt trùng Red C.P gói 175g (5 cây x 35g)","Gạo, bột, đồ khô","Xúc xích","23.500₫","23500","","","175g","","","https://www.bachhoaxanh.com/xuc-xich/xuc-xich-tiet-trung-heo-winner-red-cp-goi-175g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/3507/286694/bhx/286694_202411051402160700.png","assets\bhx-images\xuc-xich-tiet-trung-red-c-p-goi-175g-5-cay-x-35g.jpg","","bachhoaxanh.com",""
"Xúc xích heo tiệt trùng C.P gói 200g (5 cây x 40g)","Gạo, bột, đồ khô","Xúc xích","25.000₫","25000","","","200g","","","https://www.bachhoaxanh.com/xuc-xich/xuc-xich-red-cp-heo-200g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/3507/89851/bhx/89851_202411051339597146.png","assets\bhx-images\xuc-xich-heo-tiet-trung-c-p-goi-200g-5-cay-x-40g.jpg","","bachhoaxanh.com",""
"Xúc xích ăn liền handy đức việt vị heo O'food 192g","Gạo, bột, đồ khô","Xúc xích","19.000₫","19000","","","192g","","","https://www.bachhoaxanh.com/xuc-xich/xuc-xich-an-lien-handy-duc-viet-ofood-192g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/3507/335453/bhx/xuc-xich-an-lien-handy-duc-viet-ofood-192g_202504041627306077.jpg","assets\bhx-images\xuc-xich-an-lien-handy-duc-viet-vi-heo-o-food-192g.jpg","","bachhoaxanh.com",""
"Xúc xích heo dinh dưỡng Bin & Bon Ponnie gói 175g (5 cây x 35g)","Gạo, bột, đồ khô","Xúc xích","21.500₫","21500","","","175g","","","https://www.bachhoaxanh.com/xuc-xich/xuc-xich-dinh-duong-masan","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/3507/327274/bhx/xuc-xich-dinh-duong-masan_202507131203052605.jpg","assets\bhx-images\xuc-xich-heo-dinh-duong-bin-bon-ponnie-goi-175g-5-cay-x-35g.jpg","","bachhoaxanh.com",""
"Cá nục sốt cà nắp giật Lilly hộp 155g","Gạo, bột, đồ khô","Cá hộp","14.000₫","14000","","","155g","","","https://www.bachhoaxanh.com/ca-hop/ca-nuc-sot-ca-lilly-hop-155g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/3237/149420/bhx/149420_202412020846309489.png","assets\bhx-images\ca-nuc-sot-ca-nap-giat-lilly-hop-155g.jpg","","bachhoaxanh.com",""
"Cá ngừ xốt tương Tuna Việt Nam hộp 155g","Gạo, bột, đồ khô","Cá hộp","12.500₫","12500","","","155g","-50%","","https://www.bachhoaxanh.com/ca-hop/ca-ngu-xot-tuong-tuna-viet-nam-hop-155g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/3237/252844/bhx/252844_202411121548223008.png","assets\bhx-images\ca-ngu-xot-tuong-tuna-viet-nam-hop-155g.jpg","","bachhoaxanh.com",""
"Cá nục xốt cà Thai Ship hộp 155g","Gạo, bột, đồ khô","Cá hộp","15.000₫","15000","","","155g","","","https://www.bachhoaxanh.com/ca-hop/ca-nuc-xot-ca-thai-ship-155g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/3237/332152/bhx/thiet-ke-chua-co-ten-2024-12-02t100649297_202412021006552153.jpg","assets\bhx-images\ca-nuc-xot-ca-thai-ship-hop-155g.jpg","","bachhoaxanh.com",""
"Cá mòi xốt cà chua nắp giật 3 Cô Gái hộp 155g","Gạo, bột, đồ khô","Cá hộp","19.500₫","19500","","","155g","","","https://www.bachhoaxanh.com/ca-hop/ca-hop-ba-co-gai-nap-giut-155g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/3237/77107/bhx/77107_202411121506253104.png","assets\bhx-images\ca-moi-xot-ca-chua-nap-giat-3-co-gai-hop-155g.jpg","","bachhoaxanh.com",""
"Cá ngừ ngâm dầu Tuna Việt Nam hộp 140g","Gạo, bột, đồ khô","Cá hộp","25.000₫","25000","","","140g","","","https://www.bachhoaxanh.com/ca-hop/ca-ngu-ngam-dau-tuna-viet-nam-lon-140g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/3237/230040/bhx/ca-ngu-ngam-dau-tuna-viet-nam-lon-140g_202511201341292518.jpg","assets\bhx-images\ca-ngu-ngam-dau-tuna-viet-nam-hop-140g.jpg","","bachhoaxanh.com",""
"Cá thu sốt cà Vega hộp 155g","Gạo, bột, đồ khô","Cá hộp","15.000₫","15000","","","155g","","","https://www.bachhoaxanh.com/ca-hop/ca-thu-sot-ca-vega-hop-155g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/3237/332634/bhx/thiet-ke-chua-co-ten-2024-12-31t111909314_202412311119131462.jpg","assets\bhx-images\ca-thu-sot-ca-vega-hop-155g.jpg","","bachhoaxanh.com",""
"Cá ngừ xốt cay Tuna Việt Nam lon 140g","Gạo, bột, đồ khô","Cá hộp","25.000₫","25000","","","140g","","","https://www.bachhoaxanh.com/ca-hop/ca-ngu-xot-cay-tuna-viet-nam-lon-140g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/3237/230042/bhx/230042_202411121545370586.png","assets\bhx-images\ca-ngu-xot-cay-tuna-viet-nam-lon-140g.jpg","","bachhoaxanh.com",""
"Cá trích sốt cà Sea Crown hộp 155g","Gạo, bột, đồ khô","Cá hộp","16.000₫","16000","","","155g","","","https://www.bachhoaxanh.com/ca-hop/ca-trich-sot-ca-155-gam","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/3237/85037/bhx/85037_202411121508190771.png","assets\bhx-images\ca-trich-sot-ca-sea-crown-hop-155g.jpg","","bachhoaxanh.com",""
"Cá nục xốt cà 3 Cô Gái hộp 190g","Gạo, bột, đồ khô","Cá hộp","28.000₫","28000","","","190g","","","https://www.bachhoaxanh.com/ca-hop/ca-hop-3-co-gai-190g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/3237/77106/bhx/77106_202411121506055327.png","assets\bhx-images\ca-nuc-xot-ca-3-co-gai-hop-190g.jpg","","bachhoaxanh.com",""
"Thịt viên xốt phô mai Cây Thị 120g","Gạo, bột, đồ khô","Heo, bò, pate hộp","10.000₫","10000","","","120g","-50%","","https://www.bachhoaxanh.com/thit-heo-hop/thit-vien-xot-pho-mai-cay-thi-120g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/3238/326224/bhx/326224-2_202412022137464598.png","assets\bhx-images\thit-vien-xot-pho-mai-cay-thi-120g.jpg","","bachhoaxanh.com",""
"Pate gan Tulip 125g","Gạo, bột, đồ khô","Heo, bò, pate hộp","19.500₫","19500","","","125g","-50%","","https://www.bachhoaxanh.com/thit-heo-hop/pate-heo-tulip-125g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/3238/88749/bhx/88749_202411121057522496.png","assets\bhx-images\pate-gan-tulip-125g.jpg","","bachhoaxanh.com",""
"Thịt heo Spam Classic Hormel Foods 340g","Gạo, bột, đồ khô","Heo, bò, pate hộp","104.000₫","104000","","","340g","-20%","","https://www.bachhoaxanh.com/thit-heo-hop/thit-hop-spam-340g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/3238/83320/bhx/83320_202411121050358672.png","assets\bhx-images\thit-heo-spam-classic-hormel-foods-340g.jpg","","bachhoaxanh.com",""
"Heo hai lát Hạ Long 150g","Gạo, bột, đồ khô","Heo, bò, pate hộp","21.000₫","21000","","","150g","-14%","","https://www.bachhoaxanh.com/thit-heo-hop/heo-hai-lat-ha-long-hop-150g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/3238/197225/bhx/197225-1-2_202412261048273260.png","assets\bhx-images\heo-hai-lat-ha-long-150g.jpg","","bachhoaxanh.com",""
"Pate thịt đóng hộp cột đèn Hải Phòng Hạ Long 150g","Gạo, bột, đồ khô","Heo, bò, pate hộp","24.000₫","24000","","","150g","-13%","","https://www.bachhoaxanh.com/thit-heo-hop/pate-thit-dong-hop-cot-den-hai-phong-ha-long-hop-150g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/3238/264296/bhx/264296_202411121200173291.png","assets\bhx-images\pate-thit-dong-hop-cot-den-hai-phong-ha-long-150g.jpg","","bachhoaxanh.com",""
"Thịt heo viên Heo Cao Bồi ăn liền vị xốt cà Masan 200g","Gạo, bột, đồ khô","Heo, bò, pate hộp","29.000₫","29000","","","200g","","","https://www.bachhoaxanh.com/thit-heo-hop/thit-heo-vien-heo-cao-boi-an-lien-vi-xot-ca-masan-hop-200g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/3238/253148/bhx/253148_202411121158346888.png","assets\bhx-images\thit-heo-vien-heo-cao-boi-an-lien-vi-xot-ca-masan-200g.jpg","","bachhoaxanh.com",""
"Pate gan Hạ Long 170g","Gạo, bột, đồ khô","Heo, bò, pate hộp","39.000₫","39000","","","170g","","","https://www.bachhoaxanh.com/thit-heo-hop/pate-gan-ha-long-170g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/3238/83336/bhx/83336_202411121051455775.png","assets\bhx-images\pate-gan-ha-long-170g.jpg","","bachhoaxanh.com",""
"Thịt áp chảo Ponnie 200g","Gạo, bột, đồ khô","Heo, bò, pate hộp","65.000₫","65000","","","200g","","","https://www.bachhoaxanh.com/thit-heo-hop/thit-ap-chao-ponnie-hop-200g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/3238/300486/bhx/300486_202411121202095841.png","assets\bhx-images\thit-ap-chao-ponnie-200g.jpg","","bachhoaxanh.com",""
"Thịt heo viên 3 phút Heo Cao Bồi Masan 200g","Gạo, bột, đồ khô","Heo, bò, pate hộp","29.000₫","29000","","","200g","","","https://www.bachhoaxanh.com/thit-heo-hop/heo-cao-boi-thit-vien-3-phut","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/3238/159048/bhx/159048_202411121104185275.png","assets\bhx-images\thit-heo-vien-3-phut-heo-cao-boi-masan-200g.jpg","","bachhoaxanh.com",""
"Bò hai lát Hạ Long 150g","Gạo, bột, đồ khô","Heo, bò, pate hộp","26.500₫","26500","","","150g","","","https://www.bachhoaxanh.com/thit-heo-hop/bo-2-lat-ha-long-150gr-48","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/3238/92116/bhx/92116_202411121058509778.png","assets\bhx-images\bo-hai-lat-ha-long-150g.jpg","","bachhoaxanh.com",""
"Nui rau củ xoắn Safoco gói 300g","Gạo, bột, đồ khô","Mì, hủ tiếu chay","21.000₫","21000","","","300g","-7%","","https://www.bachhoaxanh.com/nui-kho/nui-xoan-rau-cu-300gr-x","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8159/80603/bhx/80603_202411291110200494.jpg","assets\bhx-images\nui-rau-cu-xoan-safoco-goi-300g.jpg","","bachhoaxanh.com",""
"Mì rau củ sợi nhỏ Safoco gói 500g","Gạo, bột, đồ khô","Mì, hủ tiếu chay","31.000₫","31000","","","500g","-6%","","https://www.bachhoaxanh.com/mi-kho/mi-cuon-rau-cu-safoco-500-gam","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8158/83042/bhx/83042-2_202412020911313783.jpg","assets\bhx-images\mi-rau-cu-soi-nho-safoco-goi-500g.jpg","","bachhoaxanh.com",""
"Cháo yến chay rau nấm Yến Việt gói 50g","Gạo, bột, đồ khô","Mì, hủ tiếu chay","11.000₫","11000","","","50g","","","https://www.bachhoaxanh.com/chao-an-lien/chao-yen-yenviet-chay-rau-nam-goi-50g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8638/191286/bhx/chao-yen-yenviet-chay-rau-nam-goi-50g_202504011021285039.jpg","assets\bhx-images\chao-yen-chay-rau-nam-yen-viet-goi-50g.jpg","","bachhoaxanh.com",""
"Canh chua chay ăn liền I.Soup 5 viên x 10g","Gạo, bột, đồ khô","Mì, hủ tiếu chay","55.000₫","55000","","","10g","","","https://www.bachhoaxanh.com/hu-tieu/goi-5-vien-canh-chua-chay-say-isoup-10g","https://cdn.tgdd.vn/Products/Images/2965/297053/bhx/canh-chua-chay-an-lien-isoup-5-vien-x-10g-202306270941258483.jpg","assets\bhx-images\canh-chua-chay-an-lien-i-soup-5-vien-x-10g.jpg","","bachhoaxanh.com",""
"Hủ tiếu chay Vifon gói 65g","Gạo, bột, đồ khô","Mì, hủ tiếu chay","8.700₫","8700","","","65g","","","https://www.bachhoaxanh.com/hu-tieu/hu-tieu-chay-vifon-goi-65g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/2965/222281/bhx/hu-tieu-chay-vifon-goi-65g_202505211613566104.jpg","assets\bhx-images\hu-tieu-chay-vifon-goi-65g.jpg","","bachhoaxanh.com",""
"Thùng 30 gói hủ tiếu chay Vifon 65g","Gạo, bột, đồ khô","Mì, hủ tiếu chay","251.000₫","251000","","","30 g","","","https://www.bachhoaxanh.com/hu-tieu/thung-30-goi-hu-tieu-chay-vifon-65g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/2965/222280/bhx/thung-30-goi-hu-tieu-chay-vifon-65g_202505211614244149.jpg","assets\bhx-images\thung-30-goi-hu-tieu-chay-vifon-65g.jpg","","bachhoaxanh.com",""
"Hủ tiếu chay Nam Vang Nhịp Sống gói 70g","Gạo, bột, đồ khô","Mì, hủ tiếu chay","10.500₫","10500","","","70g","","","https://www.bachhoaxanh.com/hu-tieu/hu-tieu-chay-nam-vang-nhip-song-goi-66g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8638/218771/bhx/218771-2_202412111317243716.png","assets\bhx-images\hu-tieu-chay-nam-vang-nhip-song-goi-70g.jpg","","bachhoaxanh.com",""
"Thùng 24 ly mì chay Handy Hảo Hảo lẩu nấm thập cẩm 66g","Gạo, bột, đồ khô","Mì, hủ tiếu chay","225.000₫","225000","","","24 l","","","https://www.bachhoaxanh.com/mi/thung-24-ly-mi-chay-handy-hao-hao-lau-nam-thap-cam-66g","https://cdn.tgdd.vn/Products/Images/2565/195177/bhx/thung-24-ly-mi-chay-handy-hao-hao-lau-nam-thap-cam-66g-202310031530085262.jpg","assets\bhx-images\thung-24-ly-mi-chay-handy-hao-hao-lau-nam-thap-cam-66g.jpg","","bachhoaxanh.com",""
"Mì chay Handy Hảo Hảo lẩu nấm thập cẩm ly 66g","Gạo, bột, đồ khô","Mì, hủ tiếu chay","9.600₫","9600","","","66g","","","https://www.bachhoaxanh.com/mi/mi-hao-hao-lau-nam-thap-cam-ly-66g","https://cdn.tgdd.vn/Products/Images/2565/195170/bhx/mi-chay-handy-hao-hao-lau-nam-thap-cam-ly-66g-202307171606097796.png","assets\bhx-images\mi-chay-handy-hao-hao-lau-nam-thap-cam-ly-66g.jpg","","bachhoaxanh.com",""
"Nui rau củ Bốn mùa Erci gói 200g","Gạo, bột, đồ khô","Mì, hủ tiếu chay","14.000₫","14000","","","200g","","","https://www.bachhoaxanh.com/nui-kho/nui-ong-lon-rau-cu-bon-mua-erci-goi-200g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8159/175990/bhx/175990_202411291315513338.jpg","assets\bhx-images\nui-rau-cu-bon-mua-erci-goi-200g.jpg","","bachhoaxanh.com",""
"Nui rau củ hình sò lớn Bốn mùa Erci gói 200g","Gạo, bột, đồ khô","Mì, hủ tiếu chay","14.000₫","14000","","","200g","","","https://www.bachhoaxanh.com/nui-kho/nui-so-lon-rau-cu-bon-mua-erci-goi-200g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8159/175989/bhx/175989_202411291313445645.jpg","assets\bhx-images\nui-rau-cu-hinh-so-lon-bon-mua-erci-goi-200g.jpg","","bachhoaxanh.com",""
"Nui rau củ ống xoắn Bốn mùa Erci gói 200g","Gạo, bột, đồ khô","Mì, hủ tiếu chay","14.000₫","14000","","","200g","","","https://www.bachhoaxanh.com/nui-kho/nui-rau-cu-erci-bon-mua-xoan-goi-200gr","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8159/175988/bhx/175988_202411291313296522.jpg","assets\bhx-images\nui-rau-cu-ong-xoan-bon-mua-erci-goi-200g.jpg","","bachhoaxanh.com",""
"Chao khoai môn Bông Mai hũ 170g","Gạo, bột, đồ khô","Chao","20.000₫","20000","","","170g","","","https://www.bachhoaxanh.com/tuong-chao/chao-khoai-mon-bong-mai-hu-170g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/3525/339521/bhx/chao-khoai-mon-bong-mai-hu-170g_202510131404047979.jpg","assets\bhx-images\chao-khoai-mon-bong-mai-hu-170g.jpg","","bachhoaxanh.com",""
"Chao Bông Mai hũ 170g","Gạo, bột, đồ khô","Chao","18.000₫","18000","","","170g","","","https://www.bachhoaxanh.com/tuong-chao/chao-bong-mai-hu-170g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/3525/174518/bhx/chao-bong-mai-hu-170g_202507281558547489.jpg","assets\bhx-images\chao-bong-mai-hu-170g.jpg","","bachhoaxanh.com",""
"Bánh bao không nhân Thọ Phát 300g","Gạo, bột, đồ khô","Đồ chay các loại","26.000₫","26000","","","300g","","","https://www.bachhoaxanh.com/thuc-pham-che-bien-san/banh-bao-khong-nhan-tho-phat-goi-300g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/10778/228574/bhx/228574_202411261042099904.jpg","assets\bhx-images\banh-bao-khong-nhan-tho-phat-300g.jpg","","bachhoaxanh.com",""
"Sườn non chay Hương Vị gói 150g","Gạo, bột, đồ khô","Đồ chay các loại","45.000₫","45000","","","150g","","","https://www.bachhoaxanh.com/thuc-pham-chay/suon-non-chay-huong-vi-goi-150g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/7082/328221/bhx/suon-non-chay-huong-vi-goi-150g_202504011418471106.jpg","assets\bhx-images\suon-non-chay-huong-vi-goi-150g.jpg","","bachhoaxanh.com",""
"Đậu hũ trắng Ichi Sakura cây 240g","Gạo, bột, đồ khô","Đồ chay các loại","10.000₫","10000","","","240g","","","https://www.bachhoaxanh.com/do-chua-dua-muoi/dau-hu-trang-ichi-sakura-cay-240g","https://cdn.tgdd.vn/Products/Images/7459/220430/bhx/tau-hu-trang-ichi-sakura-cay-240g-202205161542426365.png","assets\bhx-images\dau-hu-trang-ichi-sakura-cay-240g.jpg","","bachhoaxanh.com",""
"Đậu hũ chiên Ichi Sakura gói 500g","Gạo, bột, đồ khô","Đồ chay các loại","29.000₫","29000","","","500g","","","https://www.bachhoaxanh.com/do-chua-dua-muoi/tau-hu-chien-ichi-sakura-goi-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/7461/218083/bhx/frame-110-1-1_202410112017318979.jpg","assets\bhx-images\dau-hu-chien-ichi-sakura-goi-500g.jpg","","bachhoaxanh.com",""
"Đậu hũ ta Vị Nguyên hộp 280g","Gạo, bột, đồ khô","Đồ chay các loại","13.200₫","13200","","","280g","","","https://www.bachhoaxanh.com/do-chua-dua-muoi/dau-hu-ta-vi-nguyen-hop-280g","https://cdn.tgdd.vn/Products/Images/7459/206544/bhx/dau-hu-ta-vi-nguyen-hop-280g-202205161535401364.png","assets\bhx-images\dau-hu-ta-vi-nguyen-hop-280g.jpg","","bachhoaxanh.com",""
"Đậu hũ non Vị Nguyên hộp 280g","Gạo, bột, đồ khô","Đồ chay các loại","12.700₫","12700","","","280g","","","https://www.bachhoaxanh.com/do-chua-dua-muoi/dau-hu-non-vi-nguyen-hop-280g","https://cdn.tgdd.vn/Products/Images/7459/206302/bhx/dau-hu-non-vi-nguyen-hop-280g-202306191352542414.png","assets\bhx-images\dau-hu-non-vi-nguyen-hop-280g.jpg","","bachhoaxanh.com",""
"Sườn non chay Phạm Gia Phát gói 150g","Gạo, bột, đồ khô","Đồ chay các loại","58.000₫","58000","","","150g","","","https://www.bachhoaxanh.com/thuc-pham-chay/suon-non-chay-pham-gia-phat-150g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/7082/172180/bhx/suon-non-chay-pham-gia-phat-150g_202511171434046276.jpg","assets\bhx-images\suon-non-chay-pham-gia-phat-goi-150g.jpg","","bachhoaxanh.com",""
"","Gạo, bột, đồ khô","Đồ chay các loại","","","","","","","","https://www.bachhoaxanh.com/thuc-pham-che-bien-san/banh-bao-nhan-khoai-mon-cp-goi-270g","","","","bachhoaxanh.com","Navigation timeout of 30000 ms exceeded"
"Bánh bao cadé Thọ Phát 240g","Gạo, bột, đồ khô","Đồ chay các loại","23.000₫","23000","","","240g","","","https://www.bachhoaxanh.com/thuc-pham-che-bien-san/banh-bao-nhan-cade-tho-phat-goi-240g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/10778/200114/bhx/200114_202411261040456095.jpg","assets\bhx-images\banh-bao-cade-tho-phat-240g.jpg","","bachhoaxanh.com",""
"Bột rau câu giòn Bà Bảy gói 10g","Gạo, bột, đồ khô","Bột các loại","5.000₫","5000","","","10g","","","https://www.bachhoaxanh.com/bot-che-bien-san/bot-rau-cau-gion-ba-bay-goi-10g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/2388/238985/bhx/238985_202411131433502772.jpg","assets\bhx-images\bot-rau-cau-gion-ba-bay-goi-10g.jpg","","bachhoaxanh.com",""
"Bột bánh cuốn Tài Ký gói 400g","Gạo, bột, đồ khô","Bột các loại","11.000₫","11000","","","400g","-52%","","https://www.bachhoaxanh.com/bot-che-bien-san/bot-banh-cuon-tai-ky-goi-400g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/2388/175958/bhx/175958_202411131058457360.jpg","assets\bhx-images\bot-banh-cuon-tai-ky-goi-400g.jpg","","bachhoaxanh.com",""
"Bột sương sáo đen con rồng Konkon gói 50g","Gạo, bột, đồ khô","Bột các loại","8.000₫","8000","","","50g","-52%","","https://www.bachhoaxanh.com/bot-che-bien-san/bot-suong-sao-den-con-rong-konkon-goi-50g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/2388/272025/bhx/272025-2_202411131442127546.jpg","assets\bhx-images\bot-suong-sao-den-con-rong-konkon-goi-50g.jpg","","bachhoaxanh.com",""
"Bột phô mai StFood gói 100g","Gạo, bột, đồ khô","Bột các loại","22.000₫","22000","","","100g","-51%","","https://www.bachhoaxanh.com/bot-che-bien-san/bot-pho-mai-stfood-goi-100g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/2388/312291/bhx/312291_202411131448354327.jpg","assets\bhx-images\bot-pho-mai-stfood-goi-100g.jpg","","bachhoaxanh.com",""
"Bột chiên giòn Meizan gói 150gr","Gạo, bột, đồ khô","Bột các loại","9.000₫","9000","","","150g","","","https://www.bachhoaxanh.com/bot-che-bien-san/bot-chien-gion-meizan-150g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/2388/136237/bhx/136237_202411131051558353.jpg","assets\bhx-images\bot-chien-gion-meizan-goi-150gr.jpg","","bachhoaxanh.com",""
"Bột mì đa dụng Meizan cao cấp gói 1kg","Gạo, bột, đồ khô","Bột các loại","24.000₫","24000","","","1kg","","","https://www.bachhoaxanh.com/bot-che-bien-san/bot-mi-da-dung-meizan-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/2388/83375/bhx/bot-mi-da-dung-meizan-1kg_202505271134016297.jpg","assets\bhx-images\bot-mi-da-dung-meizan-cao-cap-goi-1kg.jpg","","bachhoaxanh.com",""
"Bột phô mai Ottogi gói 100g","Gạo, bột, đồ khô","Bột các loại","30.500₫","30500","","","100g","","","https://www.bachhoaxanh.com/bot-che-bien-san/bot-pho-mai-ottogi-goi-100g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/2388/310840/bhx/310840_202411131448083874.jpg","assets\bhx-images\bot-pho-mai-ottogi-goi-100g.jpg","","bachhoaxanh.com",""
"Sương sáo đen Bà Bảy gói 50g","Gạo, bột, đồ khô","Bột các loại","14.000₫","14000","","","50g","","","https://www.bachhoaxanh.com/bot-che-bien-san/bot-suong-sao-den-ba-bay-goi-50g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/2388/238988/bhx/238988_202411131435129598.jpg","assets\bhx-images\suong-sao-den-ba-bay-goi-50g.jpg","","bachhoaxanh.com",""
"Bột rau câu dẻo Bà Bảy gói 10g","Gạo, bột, đồ khô","Bột các loại","11.000₫","11000","","","10g","","","https://www.bachhoaxanh.com/bot-che-bien-san/bot-rau-cau-deo-ba-bay-goi-10g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/2388/238987/bhx/238987_202411131434283900.jpg","assets\bhx-images\bot-rau-cau-deo-ba-bay-goi-10g.jpg","","bachhoaxanh.com",""
"Bột rau câu giòn Bà Bảy - gói 25g","Gạo, bột, đồ khô","Bột các loại","19.000₫","19000","","","25g","","","https://www.bachhoaxanh.com/bot-che-bien-san/bot-rau-cau-gion-ba-bay-goi-25g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/2388/238986/bhx/238986_202411131434119217.jpg","assets\bhx-images\bot-rau-cau-gion-ba-bay-goi-25g.jpg","","bachhoaxanh.com",""
"Bột chuối chiên Tấn Sang gói 150g","Gạo, bột, đồ khô","Bột các loại","8.000₫","8000","","","150g","","","https://www.bachhoaxanh.com/bot-che-bien-san/bot-chuoi-chien-tan-sang-goi-150g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/2388/234438/bhx/234438_202411131422072118.jpg","assets\bhx-images\bot-chuoi-chien-tan-sang-goi-150g.jpg","","bachhoaxanh.com",""
"Bột cốt dừa Tấn Sang gói 50g","Gạo, bột, đồ khô","Bột các loại","8.000₫","8000","","","50g","","","https://www.bachhoaxanh.com/bot-che-bien-san/bot-cot-dua-tan-sang-goi-50g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/2388/234437/bhx/234437_202411131421516457.jpg","assets\bhx-images\bot-cot-dua-tan-sang-goi-50g.jpg","","bachhoaxanh.com",""
"Bột năng Tấn Sang gói 400g","Gạo, bột, đồ khô","Bột các loại","13.000₫","13000","","","400g","","","https://www.bachhoaxanh.com/bot-che-bien-san/bot-nang-tan-sang-goi-400g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/2388/234434/bhx/234434-2_202411131421120934.jpg","assets\bhx-images\bot-nang-tan-sang-goi-400g.jpg","","bachhoaxanh.com",""
"Bột khoai màu gói 100g","Gạo, bột, đồ khô","Đậu, nấm, đồ khô","6.600₫","6600","","","100g","","","https://www.bachhoaxanh.com/dau-cac-loai/bot-khoai-mau-vietfresh-goi-100g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/3235/262381/bhx/262381_202411171051132084.jpg","assets\bhx-images\bot-khoai-mau-goi-100g.jpg","","bachhoaxanh.com",""
"Mè đen 100gr","Gạo, bột, đồ khô","Đậu, nấm, đồ khô","16.500₫","16500","","","100g","","","https://www.bachhoaxanh.com/dau-cac-loai/me-den-vietfresh-goi-100g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/3235/252992/bhx/252992_202411171048047725.jpg","assets\bhx-images\me-den-100gr.jpg","","bachhoaxanh.com",""
"Nấm tuyết gói 50g","Gạo, bột, đồ khô","Đậu, nấm, đồ khô","39.000₫","39000","","","50g","","","https://www.bachhoaxanh.com/dau-cac-loai/nam-tuyet-vietfresh-goi-50g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/3235/252985/bhx/nam-tuyet-vietfresh-goi-50g_202511171048243801.jpg","assets\bhx-images\nam-tuyet-goi-50g.jpg","","bachhoaxanh.com",""
