name,category_main,category_sub,price_text,price_value,old_price_text,old_price_value,unit,discount_percent,sku_or_code,product_url,image_url,local_image_path,description,source,error_note
"Thịt nạc heo C.P","Thịt, cá, trứng, hải sản","Thịt heo","42.600₫","42600","","","","","","https://www.bachhoaxanh.com/thit-heo/nac-dam-heo-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8781/226842/bhx/nac-dam-heo-1kg_202511071045083031.jpg","assets\bhx-images\thit-nac-heo-c-p.jpg","","bachhoaxanh.com",""
"Đầu thăn ngoại bò tuyết đông lạnh 250g","Thịt, cá, trứng, hải sản","Thịt bò","69.000₫","69000","","","250g","","","https://www.bachhoaxanh.com/thit-bo/dau-than-ngoai-bo-tuyet-mrt-khay-250g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8400/331293/bhx/2071626828-1_202411061611525939.jpg","assets\bhx-images\dau-than-ngoai-bo-tuyet-dong-lanh-250g.jpg","","bachhoaxanh.com",""
"Bò bít tết Úc đông lạnh 200g","Thịt, cá, trứng, hải sản","Thịt bò","59.000₫","59000","","","200g","","","https://www.bachhoaxanh.com/thit-bo/bo-bit-tet-uc-mrt-khay-200g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8139/326008/bhx/bo-bit-tet-uc-mrt-khay-200g_202508070913098866.jpg","assets\bhx-images\bo-bit-tet-uc-dong-lanh-200g.jpg","","bachhoaxanh.com",""
"Thịt vụn bò vỉ 250g","Thịt, cá, trứng, hải sản","Thịt bò","42.400₫","42400","","","250g","","","https://www.bachhoaxanh.com/thit-bo/thit-vun-bo-vi-250g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8139/334239/bhx/thit-vun-bo-vi-250g_202511041111086362.jpg","assets\bhx-images\thit-vun-bo-vi-250g.jpg","","bachhoaxanh.com",""
"Đùi bò 150g","Thịt, cá, trứng, hải sản","Thịt bò","42.300₫","42300","","","150g","","","https://www.bachhoaxanh.com/thit-bo/dui-bo-150g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8139/341635/bhx/dui-bo-150g_202511041108475669.jpg","assets\bhx-images\dui-bo-150g.jpg","","bachhoaxanh.com",""
"Nạm bò 150g","Thịt, cá, trứng, hải sản","Thịt bò","30.300₫","30300","","","150g","","","https://www.bachhoaxanh.com/thit-bo/nam-bo-150g-ban-le","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8139/334237/bhx/nam-bo-150g-ban-le_202512041052380071.jpg","assets\bhx-images\nam-bo-150g.jpg","","bachhoaxanh.com",""
"Bắp bò vỉ 300g","Thịt, cá, trứng, hải sản","Thịt bò","64.350₫","64350","","","300g","","","https://www.bachhoaxanh.com/thit-bo/bap-bo-vi-300g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8139/332668/bhx/bap-bo-vi-300g_202511041111545404.jpg","assets\bhx-images\bap-bo-vi-300g.jpg","","bachhoaxanh.com",""
"Nạm bò","Thịt, cá, trứng, hải sản","Thịt bò","40.400₫","40400","","","","","","https://www.bachhoaxanh.com/thit-bo/nam-bo-tuoi-ngon-tui-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8139/238859/bhx/nam-bo-tuoi-ngon-tui-1kg_202512041003538471.jpg","assets\bhx-images\nam-bo.jpg","","bachhoaxanh.com",""
"Đùi bò","Thịt, cá, trứng, hải sản","Thịt bò","45.120₫","45120","","","","","","https://www.bachhoaxanh.com/thit-bo/dui-bo-viet-nam-tui-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8139/233807/bhx/dui-bo-viet-nam-tui-1kg_202511041108393794.jpg","assets\bhx-images\dui-bo.jpg","","bachhoaxanh.com",""
"Thịt vụn bò","Thịt, cá, trứng, hải sản","Thịt bò","48.900₫","48900","","","","","","https://www.bachhoaxanh.com/thit-bo/thit-vun-bo","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8139/309116/bhx/thit-vun-bo_202511122204337874.jpg","assets\bhx-images\thit-vun-bo.jpg","","bachhoaxanh.com",""
"Bắp bò","Thịt, cá, trứng, hải sản","Thịt bò","48.000₫","48000","","","","","","https://www.bachhoaxanh.com/thit-bo/bap-bo-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8139/233810/bhx/bap-bo-1kg_202511041111594354.jpg","assets\bhx-images\bap-bo.jpg","","bachhoaxanh.com",""
"Bò viên tươi 200g","Thịt, cá, trứng, hải sản","Thịt bò","35.900₫","35900","","","200g","","","https://www.bachhoaxanh.com/thit-bo/bo-vien-tuoi-200g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8139/339758/bhx/bo-vien-tuoi-200g_202511041108175209.jpg","assets\bhx-images\bo-vien-tuoi-200g.jpg","","bachhoaxanh.com",""
"Chân gà tươi 500g .","Thịt, cá, trứng, hải sản","Thịt gà, vịt","30.800₫","30800","","","500g","","","https://www.bachhoaxanh.com/thit-ga/chan-ga-tuoi-500gr","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8790/356842/bhx/thumb-chan-ga_202511031635284051.jpg","assets\bhx-images\chan-ga-tuoi-500g.jpg","","bachhoaxanh.com",""
"Xương gà 500g","Thịt, cá, trứng, hải sản","Thịt gà, vịt","14.200₫","14200","","","500g","","","https://www.bachhoaxanh.com/thit-ga/xuong-ga-tui-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8790/232937/bhx/thumb-xuong-ga_202511031639412341.jpg","assets\bhx-images\xuong-ga-500g.jpg","","bachhoaxanh.com",""
"Chân gà tươi","Thịt, cá, trứng, hải sản","Thịt gà, vịt","25.480₫","25480","","","","","","https://www.bachhoaxanh.com/thit-ga/chan-ga-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8790/226952/bhx/thumb-chan-ga_202511031635198968.jpg","assets\bhx-images\chan-ga-tuoi.jpg","","bachhoaxanh.com",""
"Cánh giữa gà 300g","Thịt, cá, trứng, hải sản","Thịt gà, vịt","46.035₫","46035","","","300g","","","https://www.bachhoaxanh.com/thit-ga/canh-giua-ga-300g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8790/332896/bhx/canh-giua-cp_202511031634466895.jpg","assets\bhx-images\canh-giua-ga-300g.jpg","","bachhoaxanh.com",""
"Cánh gà 500g","Thịt, cá, trứng, hải sản","Thịt gà, vịt","57.195₫","57195","","","500g","","","https://www.bachhoaxanh.com/thit-ga/canh-ga-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8790/332832/bhx/thumb-canh-ga_202511031634200083.jpg","assets\bhx-images\canh-ga-500g.jpg","","bachhoaxanh.com",""
"Ức gà phi lê có da 500g (1-3 miếng)","Thịt, cá, trứng, hải sản","Thịt gà, vịt","48.925₫","48925","","","500g","","","https://www.bachhoaxanh.com/thit-ga/uc-ga-phi-le-co-da-tui-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8790/234105/bhx/thumb-uc-ga-1_202511031639101893.jpg","assets\bhx-images\uc-ga-phi-le-co-da-500g-1-3-mieng.jpg","","bachhoaxanh.com",""
"Ức gà phi lê có da","Thịt, cá, trứng, hải sản","Thịt gà, vịt","24.720₫","24720","","","","","","https://www.bachhoaxanh.com/thit-ga/uc-ga-phi-le-co-da-tui-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8790/222942/bhx/thumb-uc-ga-1_202511031639009244.jpg","assets\bhx-images\uc-ga-phi-le-co-da.jpg","","bachhoaxanh.com",""
"Ức gà có xương","Thịt, cá, trứng, hải sản","Thịt gà, vịt","39.200₫","39200","","","","","","https://www.bachhoaxanh.com/thit-ga/uc-ga-co-xuong-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8790/222888/bhx/thumb-uc-ga-co-xuong_202511031637586276.jpg","assets\bhx-images\uc-ga-co-xuong.jpg","","bachhoaxanh.com",""
"Ức gà có xương 500g","Thịt, cá, trứng, hải sản","Thịt gà, vịt","46.550₫","46550","","","500g","","","https://www.bachhoaxanh.com/thit-ga/uc-ga-co-xuong-tui-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8790/232936/bhx/thumb-uc-ga-co-xuong_202511031638078283.jpg","assets\bhx-images\uc-ga-co-xuong-500g.jpg","","bachhoaxanh.com",""
"Má đùi gà cắt sẵn","Thịt, cá, trứng, hải sản","Thịt gà, vịt","29.440₫","29440","","","","","","https://www.bachhoaxanh.com/thit-ga/ma-dui-ga-cat-san-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8790/226888/bhx/thumb-ma-dui-ga_202511031636499693.jpg","assets\bhx-images\ma-dui-ga-cat-san.jpg","","bachhoaxanh.com",""
"Má đùi gà cắt sẵn 500g","Thịt, cá, trứng, hải sản","Thịt gà, vịt","43.701₫","43701","","","500g","","","https://www.bachhoaxanh.com/thit-ga/ma-dui-ga-cat-san-tui-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8790/232930/bhx/thumb-ma-dui-ga_202511031636595647.jpg","assets\bhx-images\ma-dui-ga-cat-san-500g.jpg","","bachhoaxanh.com",""
"Đùi tỏi gà 500g","Thịt, cá, trứng, hải sản","Thịt gà, vịt","56.730₫","56730","","","500g","","","https://www.bachhoaxanh.com/thit-ga/dui-toi-ga-tui-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8790/226882/bhx/thumb-dui-toi-ga_202511031636306941.jpg","assets\bhx-images\dui-toi-ga-500g.jpg","","bachhoaxanh.com",""
"Đùi tỏi gà","Thịt, cá, trứng, hải sản","Thịt gà, vịt","48.800₫","48800","","","","","","https://www.bachhoaxanh.com/thit-ga/dui-toi-ga-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8790/233801/bhx/thumb-dui-toi-ga_202511031636206655.jpg","assets\bhx-images\dui-toi-ga.jpg","","bachhoaxanh.com",""
"Đùi gà góc tư","Thịt, cá, trứng, hải sản","Thịt gà, vịt","23.040₫","23040","","","","","","https://www.bachhoaxanh.com/thit-ga/dui-ga-goc-tu-1kg","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8790/226946/bhx/thumb-dui-ga-goc-tu_202511031635551770.jpg","assets\bhx-images\dui-ga-goc-tu.jpg","","bachhoaxanh.com",""
"Đùi gà góc tư 500g (1-3 đùi)","Thịt, cá, trứng, hải sản","Thịt gà, vịt","48.000₫","48000","","","500g","","","https://www.bachhoaxanh.com/thit-ga/dui-ga-goc-tu-tui-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8790/226949/bhx/thumb-dui-ga-goc-tu_202511031636053301.jpg","assets\bhx-images\dui-ga-goc-tu-500g-1-3-dui.jpg","","bachhoaxanh.com",""
"Cá nục làm sạch 500g.","Thịt, cá, trứng, hải sản","Cá, hải sản","49.500₫","49500","","","500g","","","https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-nuc-lam-sach-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/339822/bhx/ca-nuc-lam-sach-500g_202506260946496333.jpg","assets\bhx-images\ca-nuc-lam-sach-500g.jpg","","bachhoaxanh.com",""
"Râu mực nhập khẩu 500g","Thịt, cá, trứng, hải sản","Cá, hải sản","87.500₫","87500","","","500g","","","https://www.bachhoaxanh.com/ca-tom-muc-ech/rau-muc-nhap-khau-tui-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/273353/bhx/273353-1_202510291547510758.jpg","assets\bhx-images\rau-muc-nhap-khau-500g.jpg","","bachhoaxanh.com",""
"Cá basa cắt khúc 500gr","Thịt, cá, trứng, hải sản","Cá, hải sản","42.000₫","42000","","","500g","","","https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-basa-khuc","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/309438/bhx/ca-basa-khuc_202511251705532734.jpg","assets\bhx-images\ca-basa-cat-khuc-500gr.jpg","","bachhoaxanh.com",""
"Cá lóc làm sạch 500g","Thịt, cá, trứng, hải sản","Cá, hải sản","50.500₫","50500","","","500g","","","https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-loc-song-tui-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/222961/bhx/ca-loc-song-tui-500g_202505252004048182.jpg","assets\bhx-images\ca-loc-lam-sach-500g.jpg","","bachhoaxanh.com",""
"Đầu cá hồi salar làm sạch khoảng 600g-700g","Thịt, cá, trứng, hải sản","Cá, hải sản","69.000₫","69000","","","600g","","","https://www.bachhoaxanh.com/ca-tom-muc-ech/dau-ca-hoi-tuoi-khay-1kg-300g-500g-cai","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/274988/bhx/274988-1_202510291557509466.jpg","assets\bhx-images\dau-ca-hoi-salar-lam-sach-khoang-600g-700g.jpg","","bachhoaxanh.com",""
"Cá basa cắt khúc Sài Thành Foods khay 500g","Thịt, cá, trứng, hải sản","Cá, hải sản","0₫","","","","500g","-74%","","https://www.bachhoaxanh.com/ca-hai-san-dong-lanh/ca-basa-cat-khuc-sai-thanh-foods-khay-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8400/334532/bhx/2071626901_202502121527505312.jpg","assets\bhx-images\ca-basa-cat-khuc-sai-thanh-foods-khay-500g.jpg","","bachhoaxanh.com",""
"Cá hồi Coho cắt khúc nhập khẩu Chi Lê 200g (giao khúc giữa)","Thịt, cá, trứng, hải sản","Cá, hải sản","90.000₫","90000","","","200g","","","https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-hoi-dong-lanh-cat-khuc","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/309115/bhx/309115-1_202510291546036346.jpg","assets\bhx-images\ca-hoi-coho-cat-khuc-nhap-khau-chi-le-200g-giao-khuc-giua.jpg","","bachhoaxanh.com",""
"Cá hồi Coho cắt khúc nhập khẩu Chi Lê 200g (chỉ giao khúc giữa)","Thịt, cá, trứng, hải sản","Cá, hải sản","82.000₫","82000","","","200g","","","https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-hoi-coho-cat-khuc-nhap-khau-chi-le-200g-chi-giao-khuc-giua","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/336050/bhx/309115-1_202510291546271867.jpg","assets\bhx-images\ca-hoi-coho-cat-khuc-nhap-khau-chi-le-200g-chi-giao-khuc-giua.jpg","","bachhoaxanh.com",""
"Cá basa cắt khúc","Thịt, cá, trứng, hải sản","Cá, hải sản","29.400₫","29400","","","","","","https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-basa-cat-khuc","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/308046/bhx/ca-basa-cat-khuc_202511251706118061.jpg","assets\bhx-images\ca-basa-cat-khuc.jpg","","bachhoaxanh.com",""
"Cá diêu hồng làm sạch 650g trở lên","Thịt, cá, trứng, hải sản","Cá, hải sản","47.000₫","47000","","","650g","","","https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-dieu-hong-lam-sach-nguyen-con","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/309731/bhx/ca-dieu-hong-lam-sach-nguyen-con_202505252312056234.jpg","assets\bhx-images\ca-dieu-hong-lam-sach-650g-tro-len.jpg","","bachhoaxanh.com",""
"Cá diêu hồng làm sạch 500g","Thịt, cá, trứng, hải sản","Cá, hải sản","47.000₫","47000","","","500g","","","https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-dieu-hong-lam-sach-vi-800g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/226851/bhx/ca-dieu-hong-lam-sach-vi-800g_202505301345436899.jpg","assets\bhx-images\ca-dieu-hong-lam-sach-500g.jpg","","bachhoaxanh.com",""
"Cá nục làm sạch","Thịt, cá, trứng, hải sản","Cá, hải sản","34.650₫","34650","","","","","","https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-nuc-lam-sach","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/316246/bhx/ca-nuc-lam-sach_202505231334251307.jpg","assets\bhx-images\ca-nuc-lam-sach.jpg","","bachhoaxanh.com",""
"Cá ngừ làm sạch 500g","Thịt, cá, trứng, hải sản","Cá, hải sản","54.500₫","54500","","","500g","","","https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-ngu-lam-sach-500g","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/332911/bhx/ca-ngu-lam-sach-500g_202510231406551071.jpg","assets\bhx-images\ca-ngu-lam-sach-500g.jpg","","bachhoaxanh.com",""
"Cá ngừ làm sạch 500g trở lên","Thịt, cá, trứng, hải sản","Cá, hải sản","43.600₫","43600","","","500g","","","https://www.bachhoaxanh.com/ca-tom-muc-ech/ca-ngu-lam-sach","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8782/313072/bhx/ca-ngu-lam-sach_202510231405458194.jpg","assets\bhx-images\ca-ngu-lam-sach-500g-tro-len.jpg","","bachhoaxanh.com",""
"2 hộp trứng cút hộp 30 quả từ 300g-360g (giao ngẫu nhiên thương hiệu)","Thịt, cá, trứng, hải sản","Trứng gà, vịt, cút","45.000₫","45000","","","2 hộp","","","https://www.bachhoaxanh.com/trung/2-hop-trung-cut-hop-30-qua-tu-300g-360g-giao-ngau-nhien-thuong-hieu","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8783/358504/bhx/trung-cut-hop-30-qua-tu-300g-360g-giao-ngau-nhien-thuong-hieu-clone_202510301458324264.jpg","assets\bhx-images\2-hop-trung-cut-hop-30-qua-tu-300g-360g-giao-ngau-nhien-thuong-hieu.jpg","","bachhoaxanh.com",""
"2 hộp trứng vịt hộp 10 quả từ 600g-700g (giao ngẫu nhiên thương hiệu)","Thịt, cá, trứng, hải sản","Trứng gà, vịt, cút","68.000₫","68000","","","2 hộp","","","https://www.bachhoaxanh.com/trung/2-hop-trung-vit-hop-10-qua-tu-600g-700g-giao-ngau-nhien-thuong-hieu","https://cdnv2.tgdd.vn/bhx-static/bhx/Products/Images/8783/358508/bhx/trung-vit-hop-10-qua-tu-600g-700g-giao-ngau-nhien-thuong-hieu-clone_202510301504309050.jpg","assets\bhx-images\2-hop-trung-vit-hop-10-qua-tu-600g-700g-giao-ngau-nhien-thuong-hieu.jpg","","bachhoaxanh.com",""
